model,rca_max_nodes,rca_max_hops,selected_nodes,mode,S_nodes,S_items,returned_items_total_ranked,gt_core_size,gt_ext_size,core_tp,core_precision,core_recall,core_f1,ext_tp,ext_precision,ext_recall,ext_f1,core_tp@5,core_P@5,core_R@5,core_k_used@5,ext_tp@5,ext_P@5,ext_R@5,ext_k_used@5,core_Hit@5,core_hit_k_used@5,core_tp@10,core_P@10,core_R@10,core_k_used@10,ext_tp@10,ext_P@10,ext_R@10,ext_k_used@10,core_Hit@10,core_hit_k_used@10,core_tp@20,core_P@20,core_R@20,core_k_used@20,ext_tp@20,ext_P@20,ext_R@20,ext_k_used@20,core_Hit@20,core_hit_k_used@20,core_tp@50,core_P@50,core_R@50,core_k_used@50,ext_tp@50,ext_P@50,ext_R@50,ext_k_used@50,core_Hit@50,core_hit_k_used@50,max_hop_selected,p90_hop_selected,mean_hop_selected,ablation
baseline,5000,1,1,or_duplicates,1,1,1,32,40,1,1.0,0.03125,0.06060606060606061,1,1.0,0.025,0.04878048780487806,1,1.0,0.03125,1,1,1.0,0.025,1,1,1,1,1.0,0.03125,1,1,1.0,0.025,1,1,1,1,1.0,0.03125,1,1,1.0,0.025,1,1,1,1,1.0,0.03125,1,1,1.0,0.025,1,1,1,1,1.0,1.0,hop_sensitivity
baseline,5000,2,3,or_duplicates,3,3,3,32,40,1,0.3333333333333333,0.03125,0.05714285714285714,1,0.3333333333333333,0.025,0.046511627906976744,1,0.3333333333333333,0.03125,3,1,0.3333333333333333,0.025,3,1,3,1,0.3333333333333333,0.03125,3,1,0.3333333333333333,0.025,3,1,3,1,0.3333333333333333,0.03125,3,1,0.3333333333333333,0.025,3,1,3,1,0.3333333333333333,0.03125,3,1,0.3333333333333333,0.025,3,1,3,2,2.0,1.6666666666666667,hop_sensitivity
baseline,5000,3,5,or_duplicates,5,5,5,32,40,1,0.2,0.03125,0.05405405405405406,2,0.4,0.05,0.0888888888888889,1,0.2,0.03125,5,2,0.4,0.05,5,1,5,1,0.2,0.03125,5,2,0.4,0.05,5,1,5,1,0.2,0.03125,5,2,0.4,0.05,5,1,5,1,0.2,0.03125,5,2,0.4,0.05,5,1,5,3,3.0,2.2,hop_sensitivity
baseline,5000,5,10,or_duplicates,10,9,9,32,40,3,0.3333333333333333,0.09375,0.14634146341463417,5,0.5555555555555556,0.125,0.20408163265306123,1,0.2,0.03125,5,3,0.6,0.075,5,1,5,3,0.3333333333333333,0.09375,9,5,0.5555555555555556,0.125,9,1,9,3,0.3333333333333333,0.09375,9,5,0.5555555555555556,0.125,9,1,9,3,0.3333333333333333,0.09375,9,5,0.5555555555555556,0.125,9,1,9,5,5.0,3.4,hop_sensitivity
baseline,5000,10,29,or_duplicates,29,22,22,32,40,9,0.4090909090909091,0.28125,0.3333333333333333,15,0.6818181818181818,0.375,0.48387096774193555,1,0.2,0.03125,5,4,0.8,0.1,5,1,5,2,0.2,0.0625,10,7,0.7,0.175,10,1,10,9,0.45,0.28125,20,15,0.75,0.375,20,1,20,9,0.4090909090909091,0.28125,22,15,0.6818181818181818,0.375,22,1,22,10,10.0,6.482758620689655,hop_sensitivity
baseline,5000,25,60,or_duplicates,60,46,46,32,40,21,0.45652173913043476,0.65625,0.5384615384615383,27,0.5869565217391305,0.675,0.627906976744186,1,0.2,0.03125,5,4,0.8,0.1,5,1,5,4,0.4,0.125,10,9,0.9,0.225,10,1,10,11,0.55,0.34375,20,17,0.85,0.425,20,1,20,21,0.45652173913043476,0.65625,46,27,0.5869565217391305,0.675,46,1,46,25,24.0,15.366666666666667,hop_sensitivity
baseline,5000,50,139,or_duplicates,139,120,120,32,40,24,0.2,0.75,0.31578947368421056,30,0.25,0.75,0.375,1,0.2,0.03125,5,4,0.8,0.1,5,1,5,4,0.4,0.125,10,9,0.9,0.225,10,1,10,11,0.55,0.34375,20,17,0.85,0.425,20,1,20,21,0.42,0.65625,50,27,0.54,0.675,50,1,50,50,49.0,29.705035971223023,hop_sensitivity
baseline,5000,100,4809,or_duplicates,4809,4683,4683,32,40,24,0.005124919923126201,0.75,0.010180275715800635,32,0.006833226564168268,0.8,0.013550709294939655,1,0.2,0.03125,5,4,0.8,0.1,5,1,5,4,0.4,0.125,10,9,0.9,0.225,10,1,10,11,0.55,0.34375,20,17,0.85,0.425,20,1,20,21,0.42,0.65625,50,27,0.54,0.675,50,1,50,100,97.0,78.36452484924101,hop_sensitivity
baseline,5000,150,4999,or_duplicates,4999,4846,4846,32,40,24,0.004952538175815105,0.75,0.00984009840098401,32,0.006603384234420141,0.8,0.013098649201801064,1,0.2,0.03125,5,4,0.8,0.1,5,1,5,4,0.4,0.125,10,9,0.9,0.225,10,1,10,11,0.55,0.34375,20,17,0.85,0.425,20,1,20,21,0.42,0.65625,50,27,0.54,0.675,50,1,50,150,101.0,81.54170834166834,hop_sensitivity
baseline,5000,None,4999,or_duplicates,4999,4385,4385,32,40,32,0.007297605473204105,1.0,0.014489472492642064,40,0.009122006841505131,1.0,0.01807909604519774,1,0.2,0.03125,5,4,0.8,0.1,5,1,5,4,0.4,0.125,10,9,0.9,0.225,10,1,10,11,0.55,0.34375,20,17,0.85,0.425,20,1,20,21,0.42,0.65625,50,27,0.54,0.675,50,1,50,527,292.0,124.96639327865573,hop_sensitivity
